n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
143            0.01            1.43             inf             inf       -nan(ind)             inf               0               0               0               0
144            0.01            1.44             inf             inf       -nan(ind)             inf               0               0               0               0
145            0.01            1.45             inf             inf       -nan(ind)             inf               0               0               0               0
146            0.01            1.46             inf             inf       -nan(ind)             inf               0               0               0               0
147            0.01            1.47             inf             inf       -nan(ind)             inf               0               0               0               0
148            0.01            1.48             inf             inf       -nan(ind)             inf               0               0               0               0
149            0.01            1.49             inf             inf       -nan(ind)             inf               0               0               0               0
150            0.01             1.5             inf             inf       -nan(ind)             inf               0               0               0               0
151            0.01            1.51             inf             inf       -nan(ind)             inf               0               0               0               0
152            0.01            1.52             inf             inf       -nan(ind)             inf               0               0               0               0
153            0.01            1.53             inf             inf       -nan(ind)             inf               0               0               0               0
154            0.01            1.54             inf             inf       -nan(ind)             inf               0               0               0               0
155            0.01            1.55             inf             inf       -nan(ind)             inf               0               0               0               0
156            0.01            1.56             inf             inf       -nan(ind)             inf               0               0               0               0
157            0.01            1.57             inf             inf       -nan(ind)             inf               0               0               0               0
158            0.01            1.58             inf             inf       -nan(ind)             inf               0               0               0               0
159            0.01            1.59             inf             inf       -nan(ind)             inf               0               0               0               0
160            0.01             1.6             inf             inf       -nan(ind)             inf               0               0               0               0
161            0.01            1.61             inf             inf       -nan(ind)             inf               0               0               0               0
162            0.01            1.62             inf             inf       -nan(ind)             inf               0               0               0               0
163            0.01            1.63             inf             inf       -nan(ind)             inf               0               0               0               0
164            0.01            1.64             inf             inf       -nan(ind)             inf               0               0               0               0
165            0.01            1.65             inf             inf       -nan(ind)             inf               0               0               0               0
166            0.01            1.66             inf             inf       -nan(ind)             inf               0               0               0               0
167            0.01            1.67             inf             inf       -nan(ind)             inf               0               0               0               0
168            0.01            1.68             inf             inf       -nan(ind)             inf               0               0               0               0
169            0.01            1.69             inf             inf       -nan(ind)             inf               0               0               0               0
170            0.01             1.7             inf             inf       -nan(ind)             inf               0               0               0               0
171            0.01            1.71             inf             inf       -nan(ind)             inf               0               0               0               0
172            0.01            1.72             inf             inf       -nan(ind)             inf               0               0               0               0
173            0.01            1.73             inf             inf       -nan(ind)             inf               0               0               0               0
174            0.01            1.74             inf             inf       -nan(ind)             inf               0               0               0               0
175            0.01            1.75             inf             inf       -nan(ind)             inf               0               0               0               0
176            0.01            1.76             inf             inf       -nan(ind)             inf               0               0               0               0
177            0.01            1.77             inf             inf       -nan(ind)             inf               0               0               0               0
178            0.01            1.78             inf             inf       -nan(ind)             inf               0               0               0               0
179            0.01            1.79             inf             inf       -nan(ind)             inf               0               0               0               0
180            0.01             1.8             inf             inf       -nan(ind)             inf               0               0               0               0
181            0.01            1.81             inf             inf       -nan(ind)             inf               0               0               0               0
182            0.01            1.82             inf             inf       -nan(ind)             inf               0               0               0               0
183            0.01            1.83             inf             inf       -nan(ind)             inf               0               0               0               0
184            0.01            1.84             inf             inf       -nan(ind)             inf               0               0               0               0
185            0.01            1.85             inf             inf       -nan(ind)             inf               0               0               0               0
186            0.01            1.86             inf             inf       -nan(ind)             inf               0               0               0               0
187            0.01            1.87             inf             inf       -nan(ind)             inf               0               0               0               0
188            0.01            1.88             inf             inf       -nan(ind)             inf               0               0               0               0
189            0.01            1.89             inf             inf       -nan(ind)             inf               0               0               0               0
190            0.01             1.9             inf             inf       -nan(ind)             inf               0               0               0               0
191            0.01            1.91             inf             inf       -nan(ind)             inf               0               0               0               0
192            0.01            1.92             inf             inf       -nan(ind)             inf               0               0               0               0
193            0.01            1.93             inf             inf       -nan(ind)             inf               0               0               0               0
194            0.01            1.94             inf             inf       -nan(ind)             inf               0               0               0               0
195            0.01            1.95             inf             inf       -nan(ind)             inf               0               0               0               0
196            0.01            1.96             inf             inf       -nan(ind)             inf               0               0               0               0
197            0.01            1.97             inf             inf       -nan(ind)             inf               0               0               0               0
198            0.01            1.98             inf             inf       -nan(ind)             inf               0               0               0               0
199            0.01            1.99             inf             inf       -nan(ind)             inf               0               0               0               0
200            0.01               2             inf             inf       -nan(ind)             inf               0               0               0               0
201            0.01            2.01             inf             inf       -nan(ind)             inf               0               0               0               0
202            0.01            2.02             inf             inf       -nan(ind)             inf               0               0               0               0
203            0.01            2.03             inf             inf       -nan(ind)             inf               0               0               0               0
204            0.01            2.04             inf             inf       -nan(ind)             inf               0               0               0               0
205            0.01            2.05             inf             inf       -nan(ind)             inf               0               0               0               0
206            0.01            2.06             inf             inf       -nan(ind)             inf               0               0               0               0
207            0.01            2.07             inf             inf       -nan(ind)             inf               0               0               0               0
208            0.01            2.08             inf             inf       -nan(ind)             inf               0               0               0               0
209            0.01            2.09             inf             inf       -nan(ind)             inf               0               0               0               0
210            0.01             2.1             inf             inf       -nan(ind)             inf               0               0               0               0
211            0.01            2.11             inf             inf       -nan(ind)             inf               0               0               0               0
212            0.01            2.12             inf             inf       -nan(ind)             inf               0               0               0               0
213            0.01            2.13             inf             inf       -nan(ind)             inf               0               0               0               0
214            0.01            2.14             inf             inf       -nan(ind)             inf               0               0               0               0
215            0.01            2.15             inf             inf       -nan(ind)             inf               0               0               0               0
216            0.01            2.16             inf             inf       -nan(ind)             inf               0               0               0               0
217            0.01            2.17             inf             inf       -nan(ind)             inf               0               0               0               0
218            0.01            2.18             inf             inf       -nan(ind)             inf               0               0               0               0
219            0.01            2.19             inf             inf       -nan(ind)             inf               0               0               0               0
220            0.01             2.2             inf             inf       -nan(ind)             inf               0               0               0               0
221            0.01            2.21             inf             inf       -nan(ind)             inf               0               0               0               0
222            0.01            2.22             inf             inf       -nan(ind)             inf               0               0               0               0
223            0.01            2.23             inf             inf       -nan(ind)             inf               0               0               0               0
224            0.01            2.24             inf             inf       -nan(ind)             inf               0               0               0               0
225            0.01            2.25             inf             inf       -nan(ind)             inf               0               0               0               0
226            0.01            2.26             inf             inf       -nan(ind)             inf               0               0               0               0
227            0.01            2.27             inf             inf       -nan(ind)             inf               0               0               0               0
228            0.01            2.28             inf             inf       -nan(ind)             inf               0               0               0               0
