------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
263         0.08        20.68       142.65       12.432       142.65       12.432   1.3275e-05            0            0
264         0.08        20.76       143.65       12.474       143.65       12.474   1.3411e-05            0            0
265         0.08        20.84       144.65       12.516       144.65       12.516    1.355e-05            0            0
266         0.08        20.92       145.65       12.557       145.65       12.557   1.3691e-05            0            0
267         0.08           21       146.66       12.599       146.66       12.599   1.3833e-05            0            0
268         0.08        21.08       147.66       12.641       147.66       12.641   1.3978e-05            0            0
269         0.08        21.16       148.68       12.682       148.68       12.682   1.4125e-05            0            0
270         0.08        21.24       149.69       12.724       149.69       12.724   1.4273e-05            0            0
271         0.08        21.32       150.71       12.766       150.71       12.766   1.4424e-05            0            0
272         0.08         21.4       151.74       12.807       151.74       12.807   1.4577e-05            0            0
273         0.08        21.48       152.76       12.849       152.76       12.849   1.4732e-05            0            0
274         0.08        21.56       153.79        12.89       153.79        12.89   1.4889e-05            0            0
275         0.08        21.64       154.83       12.932       154.83       12.932   1.5049e-05            0            0
276         0.08        21.72       155.86       12.974       155.86       12.974   1.5211e-05            0            0
277         0.08         21.8        156.9       13.015        156.9       13.015   1.5376e-05            0            0
278         0.08        21.88       157.94       13.057       157.94       13.057   1.5543e-05            0            0
279         0.08        21.96       158.99       13.098       158.99       13.098   1.5713e-05            0            0
280         0.08        22.04       160.04        13.14       160.04        13.14   1.5885e-05            0            0
281         0.08        22.12       161.09       13.182       161.09       13.182    1.606e-05            0            0
282         0.08         22.2       162.15       13.223       162.15       13.223   1.6238e-05            0            0
283         0.08        22.28       163.21       13.265       163.21       13.265   1.6418e-05            0            0
284         0.08        22.36       164.27       13.306       164.27       13.306   1.6602e-05            0            0
285         0.08        22.44       165.34       13.348       165.34       13.348   1.6788e-05            0            0
286         0.08        22.52       166.41       13.389       166.41       13.389   1.6978e-05            0            0
287         0.08         22.6       167.48       13.431       167.48       13.431   1.7171e-05            0            0
288         0.08        22.68       168.56       13.473       168.56       13.473   1.7367e-05            0            0
289         0.08        22.76       169.64       13.514       169.64       13.514   1.7566e-05            0            0
290         0.08        22.84       170.72       13.556       170.72       13.556   1.7769e-05            0            0
291         0.08        22.92        171.8       13.597        171.8       13.597   1.7975e-05            0            0
292         0.08           23       172.89       13.639       172.89       13.639   1.8185e-05            0            0
293         0.08        23.08       173.99        13.68       173.99        13.68   1.8399e-05            0            0
294         0.08        23.16       175.08       13.722       175.08       13.722   1.8616e-05            0            0
295         0.08        23.24       176.18       13.763       176.18       13.763   1.8838e-05            0            0
296         0.08        23.32       177.28       13.805       177.28       13.805   1.9063e-05            0            0
297         0.08         23.4       178.39       13.846       178.39       13.846   1.9293e-05            0            0
298         0.08        23.48        179.5       13.888        179.5       13.888   1.9527e-05            0            0
299         0.08        23.56       180.61       13.929       180.61       13.929   1.9765e-05            0            0
300         0.08        23.64       181.73       13.971       181.73       13.971   2.0008e-05            0            0
301         0.08        23.72       182.85       14.012       182.85       14.012   2.0256e-05            0            0
302         0.08         23.8       183.97       14.054       183.97       14.054   2.0509e-05            0            0
303         0.08        23.88        185.1       14.095        185.1       14.095   2.0767e-05            0            0
304         0.08        23.96       186.23       14.137       186.23       14.137   2.1029e-05            0            0
305         0.08        24.04       187.36       14.178       187.36       14.178   2.1298e-05            0            0
306         0.08        24.12       188.49        14.22       188.49        14.22   2.1571e-05            0            0
307         0.08         24.2       189.63       14.261       189.63       14.261   2.1851e-05            0            0
308         0.08        24.28       190.78       14.302       190.78       14.302   2.2136e-05            0            0
309         0.08        24.36       191.92       14.344       191.92       14.344   2.2428e-05            0            0
310         0.08        24.44       193.07       14.385       193.07       14.385   2.2725e-05            0            0
311         0.08        24.52       194.22       14.427       194.22       14.427    2.303e-05            0            0
312         0.08         24.6       195.38       14.468       195.38       14.468   2.3341e-05            0            0
313         0.08        24.68       196.54        14.51       196.54        14.51   2.3659e-05            0            0
314         0.08        24.76        197.7       14.551        197.7       14.551   2.3984e-05            0            0
315         0.08        24.84       198.87       14.592       198.87       14.593   2.4316e-05            0            0
